areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,28/10/2021,,7019,
E92000001,England,nation,27/10/2021,,6951,8786
E92000001,England,nation,26/10/2021,,6883,30405
E92000001,England,nation,25/10/2021,,6801,37505
E92000001,England,nation,24/10/2021,,6515,29117
E92000001,England,nation,23/10/2021,,6386,28873
E92000001,England,nation,22/10/2021,,6405,33686
E92000001,England,nation,21/10/2021,,6366,37685
E92000001,England,nation,20/10/2021,,6299,43028
E92000001,England,nation,19/10/2021,,6099,43586
E92000001,England,nation,18/10/2021,,5938,48150
E92000001,England,nation,17/10/2021,,5623,36741
E92000001,England,nation,16/10/2021,,5385,30997
E92000001,England,nation,15/10/2021,141544,5363,35851
E92000001,England,nation,14/10/2021,141494,5289,38415
E92000001,England,nation,13/10/2021,141416,5246,39718
E92000001,England,nation,12/10/2021,141343,5213,40024
E92000001,England,nation,11/10/2021,141263,5206,42229
E92000001,England,nation,10/10/2021,141180,5077,30888
E92000001,England,nation,09/10/2021,141109,4921,26560
E92000001,England,nation,08/10/2021,141025,4975,29234
E92000001,England,nation,07/10/2021,140938,4962,31538
E92000001,England,nation,06/10/2021,140846,5009,31879
E92000001,England,nation,05/10/2021,140773,5006,31566
E92000001,England,nation,04/10/2021,140688,4909,35751
E92000001,England,nation,03/10/2021,140611,4778,26594
E92000001,England,nation,02/10/2021,140539,4652,21420
E92000001,England,nation,01/10/2021,140469,4799,23640
E92000001,England,nation,30/09/2021,140372,4916,26243
E92000001,England,nation,29/09/2021,140281,5017,28138
E92000001,England,nation,28/09/2021,140194,5126,29016
E92000001,England,nation,27/09/2021,140115,5121,33896
E92000001,England,nation,26/09/2021,140037,4949,26265
E92000001,England,nation,25/09/2021,139963,5100,22655
E92000001,England,nation,24/09/2021,139875,5036,25213
E92000001,England,nation,23/09/2021,139781,5214,27712
E92000001,England,nation,22/09/2021,139678,5406,28185
E92000001,England,nation,21/09/2021,139569,5543,29951
E92000001,England,nation,20/09/2021,139475,5727,31453
E92000001,England,nation,19/09/2021,139364,5695,24263
E92000001,England,nation,18/09/2021,139267,5688,20524
E92000001,England,nation,17/09/2021,139168,5910,21913
E92000001,England,nation,16/09/2021,139043,6081,21733
E92000001,England,nation,15/09/2021,138930,6306,21952
E92000001,England,nation,14/09/2021,138814,6344,22145
E92000001,England,nation,13/09/2021,138696,6424,24641
E92000001,England,nation,12/09/2021,138622,6253,17509
E92000001,England,nation,11/09/2021,138521,6206,16602
E92000001,England,nation,10/09/2021,138414,6400,20530
E92000001,England,nation,09/09/2021,138306,6254,23903
E92000001,England,nation,08/09/2021,138172,6302,25060
E92000001,England,nation,07/09/2021,138059,6244,27350
E92000001,England,nation,06/09/2021,137936,6375,32371
E92000001,England,nation,05/09/2021,137812,6167,22964
E92000001,England,nation,04/09/2021,137699,6043,22966
E92000001,England,nation,03/09/2021,137586,6195,28110
E92000001,England,nation,02/09/2021,137467,6186,29982
E92000001,England,nation,01/09/2021,137365,6236,30938
E92000001,England,nation,31/08/2021,137268,6293,32854
E92000001,England,nation,30/08/2021,137175,6002,24399
E92000001,England,nation,29/08/2021,137083,5855,18733
E92000001,England,nation,28/08/2021,136972,5756,19686
E92000001,England,nation,27/08/2021,136869,5889,23712
E92000001,England,nation,26/08/2021,136759,5893,25897
E92000001,England,nation,25/08/2021,136655,5922,27242
E92000001,England,nation,24/08/2021,136573,5911,27548
E92000001,England,nation,23/08/2021,136472,6000,29667
E92000001,England,nation,22/08/2021,136377,5749,21951
E92000001,England,nation,21/08/2021,136271,5575,22146
E92000001,England,nation,20/08/2021,136179,5576,25004
E92000001,England,nation,19/08/2021,136074,5554,28392
E92000001,England,nation,18/08/2021,135978,5514,30696
E92000001,England,nation,17/08/2021,135891,5437,30332
E92000001,England,nation,16/08/2021,135806,5429,30146
E92000001,England,nation,15/08/2021,135732,5115,20840
E92000001,England,nation,14/08/2021,135659,4973,20908
E92000001,England,nation,13/08/2021,135575,5076,24460
E92000001,England,nation,12/08/2021,135496,5029,27072
E92000001,England,nation,11/08/2021,135409,5073,28490
E92000001,England,nation,10/08/2021,135335,5096,26983
E92000001,England,nation,09/08/2021,135264,5098,27629
E92000001,England,nation,08/08/2021,135191,4939,19704
E92000001,England,nation,07/08/2021,135127,4817,19499
E92000001,England,nation,06/08/2021,135038,4879,24291
E92000001,England,nation,05/08/2021,134955,4894,27516
E92000001,England,nation,04/08/2021,134868,4944,28236
E92000001,England,nation,03/08/2021,134790,5116,26409
E92000001,England,nation,02/08/2021,134721,5309,25973
E92000001,England,nation,01/08/2021,134646,5090,18216
E92000001,England,nation,31/07/2021,134573,5057,18007
E92000001,England,nation,30/07/2021,134501,5111,21588
E92000001,England,nation,29/07/2021,134416,5056,24788
E92000001,England,nation,28/07/2021,134346,5182,26342
E92000001,England,nation,27/07/2021,134277,5163,25434
E92000001,England,nation,26/07/2021,134218,5055,25924
E92000001,England,nation,25/07/2021,134151,4725,19239
E92000001,England,nation,24/07/2021,134091,4476,19849
E92000001,England,nation,23/07/2021,134034,4401,24011
E92000001,England,nation,22/07/2021,133969,4230,27158
E92000001,England,nation,21/07/2021,133896,4063,31043
E92000001,England,nation,20/07/2021,133850,3894,35119
E92000001,England,nation,19/07/2021,133798,3813,42436
E92000001,England,nation,18/07/2021,133724,3546,32494
E92000001,England,nation,17/07/2021,133666,3442,34642
E92000001,England,nation,16/07/2021,133617,3367,50131
E92000001,England,nation,15/07/2021,133574,3241,56370
E92000001,England,nation,14/07/2021,133531,3110,49282
E92000001,England,nation,13/07/2021,133495,2970,42311
E92000001,England,nation,12/07/2021,133456,2798,39639
E92000001,England,nation,11/07/2021,133424,2564,26939
E92000001,England,nation,10/07/2021,133397,2429,24927
E92000001,England,nation,09/07/2021,133363,2352,28462
E92000001,England,nation,08/07/2021,133325,2209,29272
E92000001,England,nation,07/07/2021,133296,2144,33518
E92000001,England,nation,06/07/2021,133268,1998,30962
E92000001,England,nation,05/07/2021,133246,1888,29528
E92000001,England,nation,04/07/2021,133226,1744,21323
E92000001,England,nation,03/07/2021,133203,1636,20207
E92000001,England,nation,02/07/2021,133176,1611,21741
E92000001,England,nation,01/07/2021,133152,1560,23616
E92000001,England,nation,30/06/2021,133127,1500,23407
E92000001,England,nation,29/06/2021,133104,1445,22677
E92000001,England,nation,28/06/2021,133083,1465,22879
E92000001,England,nation,27/06/2021,133070,1331,15043
E92000001,England,nation,26/06/2021,133050,1276,13182
E92000001,England,nation,25/06/2021,133040,1284,14520
E92000001,England,nation,24/06/2021,133020,1274,14709
E92000001,England,nation,23/06/2021,132998,1255,14398
E92000001,England,nation,22/06/2021,132992,1301,13216
E92000001,England,nation,21/06/2021,132980,1290,12406
E92000001,England,nation,20/06/2021,132969,1168,8008
E92000001,England,nation,19/06/2021,132950,1143,6940
E92000001,England,nation,18/06/2021,132933,1170,8506
E92000001,England,nation,17/06/2021,132919,1122,9200
E92000001,England,nation,16/06/2021,132912,1057,9155
E92000001,England,nation,15/06/2021,132900,1030,8867
E92000001,England,nation,14/06/2021,132886,993,8689
E92000001,England,nation,13/06/2021,132875,947,5908
E92000001,England,nation,12/06/2021,132866,915,5255
E92000001,England,nation,11/06/2021,132856,884,6336
E92000001,England,nation,10/06/2021,132845,906,6530
E92000001,England,nation,09/06/2021,132829,876,6719
E92000001,England,nation,08/06/2021,132815,879,6427
E92000001,England,nation,07/06/2021,132802,860,6596
E92000001,England,nation,06/06/2021,132797,807,4613
E92000001,England,nation,05/06/2021,132785,782,3862
E92000001,England,nation,04/06/2021,132781,805,4739
E92000001,England,nation,03/06/2021,132769,779,4973
E92000001,England,nation,02/06/2021,132755,801,4919
E92000001,England,nation,01/06/2021,132745,776,4333
E92000001,England,nation,31/05/2021,132736,773,3062
E92000001,England,nation,30/05/2021,132726,755,2531
E92000001,England,nation,29/05/2021,132719,748,2393
E92000001,England,nation,28/05/2021,132710,743,2826
E92000001,England,nation,27/05/2021,132699,742,2961
E92000001,England,nation,26/05/2021,132691,745,3068
E92000001,England,nation,25/05/2021,132679,765,2693
E92000001,England,nation,24/05/2021,132672,797,2618
E92000001,England,nation,23/05/2021,132659,756,1842
E92000001,England,nation,22/05/2021,132645,730,1534
E92000001,England,nation,21/05/2021,132642,766,1799
E92000001,England,nation,20/05/2021,132626,749,1913
E92000001,England,nation,19/05/2021,132620,757,2174
E92000001,England,nation,18/05/2021,132617,749,2141
E92000001,England,nation,17/05/2021,132608,798,2243
E92000001,England,nation,16/05/2021,132597,801,1521
E92000001,England,nation,15/05/2021,132587,810,1261
E92000001,England,nation,14/05/2021,132574,818,1458
E92000001,England,nation,13/05/2021,132565,845,1656
E92000001,England,nation,12/05/2021,132555,907,1768
E92000001,England,nation,11/05/2021,132542,921,1745
E92000001,England,nation,10/05/2021,132523,944,2176
E92000001,England,nation,09/05/2021,132516,933,1849
E92000001,England,nation,08/05/2021,132505,948,1203
E92000001,England,nation,07/05/2021,132488,973,1560
E92000001,England,nation,06/05/2021,132473,976,1807
E92000001,England,nation,05/05/2021,132459,1032,2042
E92000001,England,nation,04/05/2021,132439,1093,2044
E92000001,England,nation,03/05/2021,132425,1096,1696
E92000001,England,nation,02/05/2021,132408,1082,1215
E92000001,England,nation,01/05/2021,132393,1071,1128
E92000001,England,nation,30/04/2021,132380,1161,1411
E92000001,England,nation,29/04/2021,132364,1235,1762
E92000001,England,nation,28/04/2021,132349,1278,2018
E92000001,England,nation,27/04/2021,132330,1310,1694
E92000001,England,nation,26/04/2021,132306,1393,2093
E92000001,England,nation,25/04/2021,132287,1377,1774
E92000001,England,nation,24/04/2021,132266,1401,1203
E92000001,England,nation,23/04/2021,132247,1478,1580
E92000001,England,nation,22/04/2021,132224,1523,1886
E92000001,England,nation,21/04/2021,132196,1609,2128
E92000001,England,nation,20/04/2021,132171,1649,1942
E92000001,England,nation,19/04/2021,132141,1732,2128
E92000001,England,nation,18/04/2021,132124,1691,2129
E92000001,England,nation,17/04/2021,132098,1735,1308
E92000001,England,nation,16/04/2021,132065,1844,1811
E92000001,England,nation,15/04/2021,132038,1885,1803
E92000001,England,nation,14/04/2021,132002,1972,1945
E92000001,England,nation,13/04/2021,131977,2057,1910
E92000001,England,nation,12/04/2021,131940,2108,2236
E92000001,England,nation,11/04/2021,131905,2096,1899
E92000001,England,nation,10/04/2021,131873,2190,1889
E92000001,England,nation,09/04/2021,131837,2321,2317
E92000001,England,nation,08/04/2021,131805,2382,2480
E92000001,England,nation,07/04/2021,131755,2486,2588
E92000001,England,nation,06/04/2021,131718,2588,2564
E92000001,England,nation,05/04/2021,131681,2680,2191
E92000001,England,nation,04/04/2021,131647,2672,1924
E92000001,England,nation,03/04/2021,131598,2677,2012
E92000001,England,nation,02/04/2021,131566,2784,2126
E92000001,England,nation,01/04/2021,131528,2928,2866
E92000001,England,nation,31/03/2021,131474,3084,3146
E92000001,England,nation,30/03/2021,131410,3283,2957
E92000001,England,nation,29/03/2021,131362,3466,3196
E92000001,England,nation,28/03/2021,131307,3438,4103
E92000001,England,nation,27/03/2021,131265,3676,2947
E92000001,England,nation,26/03/2021,131211,3712,3627
E92000001,England,nation,25/03/2021,131151,3763,4451
E92000001,England,nation,24/03/2021,131084,4005,5116
E92000001,England,nation,23/03/2021,131026,4245,4347
E92000001,England,nation,22/03/2021,130945,4501,5147
